route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
0,3,510934805,Englewood,,7,1316572,,
0,1,510934816,Englewood,,1,1316572,,
0,1,510934841,Union Station,,9,1316568,,
0,3,510934842,Union Station,,9,1316568,,
0,3,510934991,Englewood,,1,1316572,,
0,1,510934992,Englewood,,5,1316572,,
0,3,510935026,Union Station,,8,1316568,,
0,1,510935039,Union Station,,7,1316568,,
0,2,510935129,Union Station,,2,1316568,,
0,2,510935130,Englewood,,5,1316572,,
0,1,510935158,Englewood,,3,1316572,,
0,3,510935159,Englewood,,5,1316572,,
0,3,510935183,Union Station,,4,1316568,,
0,1,510935190,Union Station,,4,1316568,,
0,3,510935294,Englewood,,3,1316572,,
0,1,510935295,Englewood,,8,1316572,,
0,3,510935342,Union Station,,7,1316570,,
0,1,510935349,Union Station,,1,1316570,,
0,2,510935445,Union Station,,4,1316570,,
0,2,510935446,Englewood,,6,1316572,,
0,1,510935458,Englewood,,2,1316572,,
0,3,510935459,Englewood,,6,1316572,,
0,3,510935485,Union Station,,1,1316570,,
0,1,510935486,Union Station,,5,1316570,,
0,1,510935597,Englewood,,9,1316572,,
0,3,510935598,Englewood,,9,1316572,,
0,3,510935644,Union Station,,5,1316570,,
0,1,510935659,Union Station,,3,1316570,,
0,2,510935750,Union Station,,5,1316570,,
0,2,510935751,Englewood,,8,1316572,,
0,1,510935772,Englewood,,7,1316572,,
0,3,510935773,Englewood,,8,1316572,,
0,3,510935794,Union Station,,3,1316570,,
0,1,510935800,Union Station,,8,1316570,,
0,1,510935869,Englewood,,4,1316572,,
0,3,510935870,Englewood,,4,1316572,,
0,2,510935993,Englewood,,2,1316572,,
0,2,510936073,Englewood,,4,1316572,,
0,3,510936080,Englewood,,1,1316571,,
0,1,510936081,Englewood,,5,1316571,,
0B,1,510914889,Englewood,,1,1316573,,
0B,2,510914890,Englewood,,1,1316573,,
0B,3,510914891,Englewood,,1,1316573,,
0B,1,510914974,Highlands Ranch,,1,1316574,,
0B,2,510914975,Highlands Ranch,,1,1316574,,
0B,3,510914976,Highlands Ranch,,1,1316574,,
0B,1,510915172,Englewood,,2,1316573,,
0B,2,510915173,Englewood,,2,1316573,,
0B,3,510915174,Englewood,,2,1316573,,
0B,1,510915306,Highlands Ranch,,2,1316574,,
0B,2,510915307,Highlands Ranch,,2,1316574,,
0B,3,510915308,Highlands Ranch,,2,1316574,,
0B,1,510915576,Englewood,,3,1316573,,
0B,2,510915577,Englewood,,3,1316573,,
0B,3,510915578,Englewood,,3,1316573,,
0B,1,510915715,Highlands Ranch,,3,1316574,,
0B,2,510915716,Highlands Ranch,,3,1316574,,
0B,3,510915717,Highlands Ranch,,3,1316574,,
0B,1,510916064,Englewood,,1,1316573,,
0B,2,510916065,Englewood,,1,1316573,,
0B,3,510916066,Englewood,,1,1316573,,
0B,1,510916234,Highlands Ranch,,1,1316574,,
0B,2,510916235,Highlands Ranch,,1,1316574,,
0B,3,510916236,Highlands Ranch,,1,1316574,,
0B,1,510916601,Englewood,,2,1316573,,
0B,2,510916602,Englewood,,2,1316573,,
0B,3,510916603,Englewood,,2,1316573,,
0B,1,510916783,Highlands Ranch,,2,1316574,,
0B,2,510916784,Highlands Ranch,,2,1316574,,
0B,3,510916785,Highlands Ranch,,2,1316574,,
0B,1,510917177,Englewood,,3,1316573,,
0B,2,510917178,Englewood,,3,1316573,,
0B,3,510917179,Englewood,,3,1316573,,
0B,1,510917371,Highlands Ranch,,3,1316574,,
0B,2,510917372,Highlands Ranch,,3,1316574,,
0B,3,510917373,Highlands Ranch,,3,1316574,,
0B,1,510917782,Englewood,,1,1316573,,
0B,2,510917783,Englewood,,1,1316573,,
0B,3,510917784,Englewood,,1,1316573,,
0B,1,510917989,Highlands Ranch,,1,1316574,,
0B,2,510917990,Highlands Ranch,,1,1316574,,
0B,3,510917991,Highlands Ranch,,1,1316574,,
0B,1,510918436,Englewood,,2,1316573,,
0B,2,510918437,Englewood,,2,1316573,,
0B,3,510918438,Englewood,,2,1316573,,
0B,1,510918654,Highlands Ranch,,2,1316574,,
0B,2,510918655,Highlands Ranch,,2,1316574,,
0B,3,510918656,Highlands Ranch,,2,1316574,,
0B,1,510919077,Englewood,,3,1316573,,
0B,2,510919078,Englewood,,3,1316573,,
0B,3,510919079,Englewood,,3,1316573,,
0B,1,510919294,Highlands Ranch,,3,1316574,,
0B,2,510919295,Highlands Ranch,,3,1316574,,
0B,3,510919296,Highlands Ranch,,3,1316574,,
0B,1,510919719,Englewood,,1,1316573,,
0B,2,510919720,Englewood,,1,1316573,,
0B,3,510919721,Englewood,,1,1316573,,
0B,1,510919934,Highlands Ranch,,1,1316574,,
0B,2,510919935,Highlands Ranch,,1,1316574,,
0B,3,510919936,Highlands Ranch,,1,1316574,,
0B,1,510920343,Englewood,,2,1316573,,
0B,2,510920344,Englewood,,2,1316573,,
0B,3,510920345,Englewood,,2,1316573,,
0B,1,510920543,Highlands Ranch,,2,1316574,,
0B,2,510920544,Highlands Ranch,,2,1316574,,
0B,3,510920545,Highlands Ranch,,2,1316574,,
0B,1,510920973,Englewood,,3,1316573,,
0B,2,510920974,Englewood,,3,1316573,,
0B,3,510920975,Englewood,,3,1316573,,
0B,1,510921178,Highlands Ranch,,3,1316574,,
0B,2,510921179,Highlands Ranch,,3,1316574,,
0B,3,510921180,Highlands Ranch,,3,1316574,,
0B,1,510921587,Englewood,,1,1316573,,
0B,2,510921588,Englewood,,1,1316573,,
0B,3,510921589,Englewood,,1,1316573,,
0B,1,510921798,Highlands Ranch,,1,1316574,,
0B,2,510921799,Highlands Ranch,,1,1316574,,
0B,3,510921800,Highlands Ranch,,1,1316574,,
0B,1,510922234,Englewood,,2,1316573,,
0B,2,510922235,Englewood,,2,1316573,,
0B,3,510922236,Englewood,,2,1316573,,
0B,1,510922441,Highlands Ranch,,2,1316574,,
0B,2,510922442,Highlands Ranch,,2,1316574,,
0B,3,510922443,Highlands Ranch,,2,1316574,,
0B,1,510922865,Englewood,,3,1316573,,
0B,2,510922866,Englewood,,3,1316573,,
0B,3,510922867,Englewood,,3,1316573,,
0B,1,510923069,Highlands Ranch,,3,1316574,,
0B,2,510923070,Highlands Ranch,,3,1316574,,
0B,3,510923071,Highlands Ranch,,3,1316574,,
0B,1,510923503,Englewood,,1,1316573,,
0B,2,510923504,Englewood,,1,1316573,,
0B,3,510923505,Englewood,,1,1316573,,
0B,1,510923715,Highlands Ranch,,1,1316574,,
0B,2,510923716,Highlands Ranch,,1,1316574,,
0B,3,510923717,Highlands Ranch,,1,1316574,,
0B,1,510924135,Englewood,,2,1316573,,
0B,2,510924136,Englewood,,2,1316573,,
0B,3,510924137,Englewood,,2,1316573,,
0B,1,510924345,Highlands Ranch,,2,1316574,,
0B,2,510924346,Highlands Ranch,,2,1316574,,
0B,3,510924347,Highlands Ranch,,2,1316574,,
0B,1,510924782,Englewood,,3,1316573,,
0B,2,510924783,Englewood,,3,1316573,,
0B,3,510924784,Englewood,,3,1316573,,
0B,1,510924996,Highlands Ranch,,3,1316574,,
0B,2,510924997,Highlands Ranch,,3,1316574,,
0B,3,510924998,Highlands Ranch,,3,1316574,,
0B,1,510925410,Englewood,,1,1316573,,
0B,2,510925411,Englewood,,1,1316573,,
0B,3,510925412,Englewood,,1,1316573,,
0B,1,510925625,Highlands Ranch,,1,1316574,,
0B,2,510925626,Highlands Ranch,,1,1316574,,
0B,3,510925627,Highlands Ranch,,1,1316574,,
0B,1,510926061,Englewood,,2,1316573,,
0B,2,510926062,Englewood,,2,1316573,,
0B,3,510926063,Englewood,,2,1316573,,
0B,1,510926285,Highlands Ranch,,2,1316574,,
0B,2,510926286,Highlands Ranch,,2,1316574,,
0B,3,510926287,Highlands Ranch,,2,1316574,,
0B,1,510926720,Englewood,,3,1316573,,
0B,2,510926721,Englewood,,3,1316573,,
0B,3,510926722,Englewood,,3,1316573,,
0B,1,510926941,Highlands Ranch,,3,1316574,,
0B,2,510926942,Highlands Ranch,,3,1316574,,
0B,3,510926943,Highlands Ranch,,3,1316574,,
0B,1,510927408,Englewood,,1,1316573,,
0B,2,510927409,Englewood,,1,1316573,,
0B,3,510927410,Englewood,,1,1316573,,
0B,1,510927643,Highlands Ranch,,1,1316574,,
0B,2,510927644,Highlands Ranch,,1,1316574,,
0B,3,510927645,Highlands Ranch,,1,1316574,,
0B,1,510928094,Englewood,,2,1316573,,
0B,2,510928095,Englewood,,2,1316573,,
0B,3,510928096,Englewood,,2,1316573,,
0B,1,510928318,Highlands Ranch,,2,1316574,,
0B,2,510928319,Highlands Ranch,,2,1316574,,
0B,3,510928320,Highlands Ranch,,2,1316574,,
0B,1,510928788,Englewood,,3,1316573,,
0B,2,510928789,Englewood,,3,1316573,,
0B,3,510928790,Englewood,,3,1316573,,
0B,1,510929014,Highlands Ranch,,3,1316574,,
0B,2,510929015,Highlands Ranch,,3,1316574,,
0B,3,510929016,Highlands Ranch,,3,1316574,,
0B,1,510929460,Englewood,,1,1316573,,
0B,2,510929461,Englewood,,1,1316573,,
0B,3,510929462,Englewood,,1,1316573,,
0B,1,510929683,Highlands Ranch,,1,1316574,,
0B,2,510929684,Highlands Ranch,,1,1316574,,
0B,3,510929685,Highlands Ranch,,1,1316574,,
0B,1,510930151,Englewood,,2,1316573,,
0B,2,510930152,Englewood,,2,1316573,,
0B,3,510930153,Englewood,,2,1316573,,
0B,1,510930378,Highlands Ranch,,2,1316574,,
0B,2,510930379,Highlands Ranch,,2,1316574,,
0B,3,510930380,Highlands Ranch,,2,1316574,,
0B,1,510930824,Englewood,,3,1316573,,
0B,2,510930825,Englewood,,3,1316573,,
0B,3,510930826,Englewood,,3,1316573,,
0B,1,510931028,Highlands Ranch,,3,1316574,,
0B,2,510931029,Highlands Ranch,,3,1316574,,
0B,3,510931030,Highlands Ranch,,3,1316574,,
0B,1,510931446,Englewood,,1,1316573,,
0B,2,510931447,Englewood,,1,1316573,,
0B,3,510931448,Englewood,,1,1316573,,
0B,1,510931645,Highlands Ranch,,1,1316574,,
0B,2,510931646,Highlands Ranch,,1,1316574,,
0B,3,510931647,Highlands Ranch,,1,1316574,,
0B,1,510932004,Englewood,,2,1316573,,
0B,2,510932005,Englewood,,2,1316573,,
0B,3,510932006,Englewood,,2,1316573,,
0B,1,510932191,Highlands Ranch,,2,1316574,,
0B,2,510932192,Highlands Ranch,,2,1316574,,
0B,3,510932193,Highlands Ranch,,2,1316574,,
0B,1,510932551,Englewood,,3,1316573,,
0B,2,510932552,Englewood,,3,1316573,,
0B,3,510932553,Englewood,,3,1316573,,
0B,1,510932725,Highlands Ranch,,3,1316574,,
0B,2,510932726,Highlands Ranch,,3,1316574,,
